source, relation, target, fact, superseded
"Data Engineering", "CONFIRMS", "fallback options", "Data Engineering confirms fallback options for approved inputs, experimental candidates, and blocked fields with known quality gaps.", FALSE
"Model Feature Engineering", "RISK", "feature scope", "Feature engineering risks feature stability.", FALSE
"SAR Reporting Requirements", "HANDLES", "feature scope", "SAR Reporting Requirements handles late-arriving transactions.", FALSE
"Legal/Risk", "BRINGS", "filing criteria", "Legal must bring filing criteria to the working session.", FALSE
"Incomplete Regulatory Coverage", "HAS_MISSING_CONTROL_MAPPINGS", "first pass", "Regulatory coverage has missing control mappings.", FALSE
"owner", "MIRRORS", "frozen matrix", "Reporting mirror the exact wording before QA locks mappings", FALSE
"Data Engineering", "POSTS", "frozen matrix", "Data Engineering posts the timestamped matrix.", FALSE
"SAR Reporting Requirements", "HAS_DEFINITION_FOR", "full audit trail on source and last update", "SAR Reporting Requirements has definition for mandatory vs conditional fields.", FALSE
"risk-first route", "LEADS_TO", "full rule-to-jurisdiction mapping", "The risk-first route leads to full rule-to-jurisdiction mapping.", FALSE
"transaction patterns", "MAPS_TO", "full rule-to-jurisdiction mapping", "Transaction types map to full rule-to-jurisdiction mapping.", FALSE
"jurisdictions", "MAPS_TO", "full rule-to-jurisdiction mapping", "Jurisdictions map to full rule-to-jurisdiction mapping.", FALSE
"gaps turning into rework or compliance issues", "HAS_LINEAGE", "gaps turning into rework or compliance issues", "Field-level source definitions have source-system lineage attached.", FALSE
"engineering", "OWNERSHIP", "golden record", "engineering owns the golden record rule.", FALSE
"Model Risk", "CONFIRMS", "golden record", "Model Risk must confirm the golden record rule.", FALSE
"DataOwner", "OWNS", "golden record", "DataOwner owns the golden record rule.", TRUE
"DataOwner", "LOCKS", "golden record", "DataOwner must lock the golden record rule from the spec.", FALSE
"Model Risk", "CONFIRMS", "hard-stop validation", "Model Risk must confirm the hard-stop rule for nulls.", FALSE
"engineering", "OWNERSHIP", "hard-stop validation", "engineering owns the hard-stop rule for nulls.", FALSE
"DataOwner", "OWNS", "hard-stop validation", "DataOwner owns the hard-stop rule for nulls.", FALSE
"breakpoints by source", "DEPENDS_ON", "hard-stop validation", "The hard-stop rule for nulls depends on confirming the source hierarchy.", FALSE
"intake", "DEPENDS_ON", "high-risk patterns", "New higher-risk patterns depend on source-field inconsistencies.", FALSE
"queue-ready", "DEPENDS_ON", "high-risk patterns", "Queue-readiness depends on high-risk items.", FALSE
"queue owner", "IMPACTED_BY", "high-risk patterns", "Review queues will feel the impact fastest if high-risk jurisdictions are not locked first.", FALSE
"onboarding breakpoints", "IMPACTED_BY", "high-risk patterns", "Client onboarding will feel the impact fastest if high-risk jurisdictions are not locked first.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "INCLUDES", "high-risk patterns", "The model_feature_engineering_spec must include high-risk typologies in scope.", FALSE
"Legal/Risk", "PROVIDES_INPUT_ON", "high-risk patterns", "Legal provides input on priority jurisdictions for high-risk corridors.", FALSE
"risk-first route", "PRIORITIZES", "high-risk patterns", "The risk-first route prioritizes high-risk corridors.", FALSE
"data validation rules", "APPLIES_TO", "high-risk segments", "Data validation rules apply to the highest-risk customer segments.", FALSE
"reconciliation rule", "APPLIES_TO", "high-risk segments", "Record reconciliation applies to the highest-risk customer segments.", FALSE
"SAR Reporting Requirements", "LOGS", "high-risk segments", "SAR Reporting Requirements logs manual overrides.", FALSE
"Model Feature Engineering", "PRIORITIZES", "highest-value items", "Model Feature Engineering prioritizes the highest-value items for early validation.", FALSE
"Data Engineering", "CONFIRMS", "historical coverage cutoff", "Data Engineering is expected to confirm historical coverage before Friday.", TRUE
"manual review queues", "DEPENDS_ON", "hold state", "The manual review hold state depends on a hold-state timer.", FALSE
"hold state", "HAS_HOLD_STATE", "hold state", "unmapped items are placed in a manual review hold state.", FALSE
"unmapped values", "ROUTED_TO", "hold state", "Unmapped cases in the exception routing fallback are held in state.", FALSE
"Investigation Workflow Definition Spec", "REFERS_TO", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "The Investigation Workflow Definition Spec refers to the document at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"hold state", "DEFINED_IN", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "The hold-state timer and breach trigger are defined in the investigation workflow definition specification at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"SAR Reporting Requirements", "HAS_OPTION", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "SAR Reporting Requirements has option B: start with edge-case scenarios and audit trail checks upfront.", FALSE
"Investigation Workflow Definition Spec", "HAS_ESCALATION_MODEL", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "Investigation Workflow Definition has two escalation models under consideration: a single escalation route for all exceptions, or a split by risk tier with explicit owner handoffs for AML, Operations, and Legal.", FALSE
"Client Services", "SHOULD_WAIT_UNTIL", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "Client Services should wait until the handoff rules are settled before pressure-testing triage paths.", FALSE
"exclusion handling", "IS_LOCKED_IN", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "The controlled value set is locked in the investigation workflow definition spec.", FALSE
"Investigation Workflow Definition Spec", "STRESS_TESTED", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "The Investigation Workflow Definition spec will be stress-tested during a working session.", FALSE
"Investigation Workflow Definition Spec", "USES_AS_WORKING_REFERENCE", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "Investigation Workflow Definition is using the spec at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec as the working reference.", FALSE
"transaction patterns", "POSTS_BLOCKERS_IN", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "Reporting posts blockers in http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"transaction patterns", "CONFIRMS_STATUS_DEFINITIONS_IN", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "Reporting confirms status definitions in http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "HAS_SPEC", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "The Investigation Workflow Definition has a specification document located at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "USES_SPEC_FOR_VALIDATION", "http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "The Investigation Workflow Definition uses the specification at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec to validate escalation scenarios and real investigator handoffs.", FALSE
"cutoff approval", "REFERS_TO", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "The cutoff owner must be confirmed in the model feature engineering specification on SharePoint by Friday.", FALSE
"backup approver path", "REFERS_TO", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "The backup owner should be included in the model feature engineering specification on SharePoint.", FALSE
"engineering", "POSTS", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "Engineering will post the mechanics and named approvers in the model_feature_engineering_spec SharePoint document by Friday.", TRUE
"Model Risk", "POSTS", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "Model Risk will post the mechanics and named approvers in the model_feature_engineering_spec SharePoint document by Friday.", TRUE
"Data Engineering", "POSTS", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "Data Engineering will post the mechanics and named approvers in the model_feature_engineering_spec SharePoint document by Friday.", TRUE
"engineering", "REQUIRES_REVIEW", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "engineering must confirm the audit-trail fields are frozen in the build by Friday for the model_feature_engineering_spec.", TRUE
"Model Feature Engineering", "USES", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "Model Feature Engineering uses the working spec located at http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec.", FALSE
"Model Feature Engineering", "MAPPED_AGAINST", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "Model Feature Engineering is being mapped against alert quality, explainability, and the spec.", FALSE
"Model Feature Engineering", "REFERS_TO", "http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "The Model Feature Engineering phase requires review of the spec at http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec.", FALSE
"SAR Reporting Requirements", "HAS_SPEC", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "SAR Reporting Requirements is now 19% in, and I want to lock down the reporting logic early! Can Legal, Ops, and Data review the spec at http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec and flag any gaps in filing criteria, source-data mapping, or audit trail expectations?", FALSE
"Model Risk", "CONFIRMS_APPROVER_IN_WRITING", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "Model Risk will confirm the cutoff approver name in writing for the SAR Reporting Requirements specification by Friday.", TRUE
"Data Engineering", "POSTS_TO", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "Data Engineering will post the bundle including backup owner, record location, approval timestamp, and reason code to the SAR Reporting Requirements specification in SharePoint by Friday.", TRUE
"regulatory-critical", "REQUIRES_REVIEW_OF", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "Legal must confirm whether the mapping in http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec needs a refresh before locking down.", FALSE
"regulatory-critical", "REQUIRES_REVIEW_OF", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "Risk must confirm whether the mapping in http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec needs a refresh before locking down.", FALSE
"SAR Reporting Requirements", "USES_AS_WORKING_REFERENCE", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "SAR Reporting Requirements is using the spec at http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec as the working reference.", FALSE
"pending items", "IS_CALLED_OUT_AGAINST", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "Pending items are called out explicitly against the SAR reporting requirements spec.", FALSE
"frozen matrix", "IS_LOCKED_IN", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "The frozen matrix is locked in the SAR reporting requirements spec.", FALSE
"SAR Reporting Requirements", "USES_SPEC", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "SAR Reporting Requirements uses the specification at http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec.", FALSE
"SharePoint", "HOSTS", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "SharePoint hosts the SAR reporting requirements spec.", FALSE
"SAR Reporting Requirements", "HAS_SPEC", "http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec", "The SAR Reporting Requirements phase has a spec located at http://sharepoint/aml_(anti-money_laundering)_project/sar_reporting_requirements_spec.", FALSE
"intake", "MUST_BE_CLEANED_BEFORE", "immediate review", "Source-field inconsistencies must be cleaned before the core list is frozen.", FALSE
"no expiry", "TRIGGERS", "immediate review", "A high-risk row with no expiry triggers immediate review.", FALSE
"high-risk patterns", "TRIGGERS", "immediate review", "A high-risk row with no owner, no expiry, or unclear regulatory mapping triggers immediate review.", FALSE
"no owner", "TRIGGERS", "immediate review", "A high-risk row with no owner triggers immediate review.", FALSE
"unclear regulatory mapping", "TRIGGERS", "immediate review", "A high-risk row with unclear regulatory mapping triggers immediate review.", FALSE
"Phase 2", "EXCLUDES", "initial feature list", "Phase 2 excludes the initial feature list unless Compliance flags them as high-risk.", FALSE
"intake", "CAUSED_BY", "intake", "The source records are caused by process drift.", FALSE
"intake", "CAUSED_BY", "intake", "The source records are caused by bad source data.", FALSE
"hard-stop validation", "DEPENDS_ON", "intake", "nulls hard-stop on July 17 mandatory fields, but only after Data labels intake miss vs sync failure.", FALSE
"effective date", "NOT_STORED_IN", "intake", "The effective date is not stored in the build fields, only in the decision log.", FALSE
"engineering", "MAKES_EXPLICIT", "intake", "engineering must make the controlled value set explicit in the spec with a single owner and spec note by Friday.", TRUE
"engineering", "OWNERSHIP", "intake", "engineering owns the controlled value set.", FALSE
"engineering", "CONFIRMS_OWNER", "intake", "engineering must confirm the owner of the controlled value set by Friday.", TRUE
"Model Risk", "CONFIRMS", "intake", "Model Risk must confirm the controlled value set.", FALSE
"cleanup queue", "HAS_INTAKE_RULES", "intake", "The remediation queue must have its intake rules confirmed by Friday.", TRUE
"legacy-migration", "HAS_INTAKE_RULES", "intake", "The legacy remediation queue has intake rules.", FALSE
"engineering", "POSTS", "jurisdictions", "engineering posts the row-level matrix by Thursday with field ID, owner, approval date, retrieval path, and build-gap vs approved-fallback status.", FALSE
"Legal/Risk", "BLESSES", "jurisdictions", "Legal blesses jurisdiction-specific threshold changes.", FALSE
"exclusion handling", "HAS_MAPPING_NOTE", "jurisdictions", "The controlled value set has a mapping note.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "CONTAINS", "jurisdictions", "The investigation workflow definition spec contains the mapping note.", FALSE
"engineering", "CONFIRMS", "log-only", "engineering confirms whether before/after values are log-only.", FALSE
"log-only", "STAYS", "log-only", "Citation stays log-only unless Legal signs off on the final wording.", FALSE
"engineering", "CONFIRMS", "log-only", "engineering confirms whether the citation is fixed in build by Friday.", FALSE
"effective date", "IS_STORED_AS", "log-only", "effective date is stored as log-only if not a discrete build field.", FALSE
"owner", "IS_STORED_AS", "log-only", "owner is stored as log-only if not a discrete build field.", FALSE
"blocker flags", "IS_STORED_AS", "log-only", "citation is stored as log-only if not a discrete build field.", FALSE
"Incomplete Regulatory Coverage", "IS_ISOLATED_BY", "logic", "Coverage gaps are isolated by logic.", FALSE
"high-risk patterns", "HAS_TAG", "logic", "High-risk items have logic tags.", FALSE
"engineering", "TAGS", "logic", "engineering tags the gap owner on every open row.", FALSE
"queue-ready", "REQUIRES", "logic", "The queue-ready status requires a stable logic.", FALSE
"queue-ready", "REQUIRES", "logic", "Queue-ready requires logic.", FALSE
"SAR Reporting Requirements", "VALIDATES_AGAINST", "low-risk gaps", "SAR Reporting Requirements validates against audit trail checks.", FALSE
"unmapped values", "ENTERS", "manual review queues", "Unmapped items enter a manual review hold state.", FALSE
"unmapped values", "RESIDES_IN", "manual review queues", "Unmapped cases may sit in manual review until resolved.", FALSE
"unmapped values", "ROUTED_TO", "manual review queues", "Unmapped cases in the exception routing fallback route to manual review.", FALSE
"temporary control outside the model", "REQUIRES", "manual review queues", "A temporary control requires manual review until Legal/Risk blesses it.", FALSE
"newer transaction patterns", "HAS_FALLBACK", "manual review queues", "The current fallback for newer transaction patterns is manual review queues.", FALSE
"partial-match", "REQUIRES", "manual triage step", "Partial-match and overwritten cases require a manual triage step.", FALSE
"minimum evidence pack", "INCLUDES", "minimum evidence pack", "The minimum evidence set includes rationale.", FALSE
"minimum evidence pack", "INCLUDES", "minimum evidence pack", "The minimum evidence set includes an immutable decision log.", FALSE
"minimum evidence pack", "INCLUDES", "minimum evidence pack", "The minimum evidence set includes a linked spec citation.", FALSE
"Legal/Risk", "NAMES", "minimum evidence pack", "Legal should name the minimum evidence set today.", FALSE
"DataOwner", "TAGS_BEFORE", "minimum evidence pack", "DataOwner must tag before Ops can code the two paths, which requires evidence bundle.", FALSE
"CDD tuning", "REQUIRES", "minimum evidence pack", "The CDD flow requires evidence for overrides.", FALSE
"Data Engineering", "CONFIRMS", "missing fields", "Data Engineering is expected to confirm any missing fields before Friday.", TRUE
"current feature set with tighter thresholds", "ALTERNATIVE_TO", "new inputs for higher-risk transaction patterns", "The current feature set with tighter thresholds is an alternative to adding new inputs for higher-risk transaction patterns.", FALSE
"blocked fields with known quality gaps", "DEPENDS_ON", "newer transaction patterns", "Newer inputs depend on unstable fields.", FALSE
"build", "IS_CAUSED_BY", "newer transaction patterns", "Audit mess is caused by newer inputs.", FALSE
"breakpoints by source", "HANDS_OFF", "newer transaction patterns", "The triage path includes source system breakpoints, then handoff exceptions, then manual overrides.", FALSE
"newer transaction patterns", "HANDS_OFF", "newer transaction patterns", "The triage path includes source system breakpoints, then handoff exceptions, then manual overrides.", FALSE
"Legal/Risk", "RANKS", "nice-to-have", "Legal/Risk can help rank which patterns are nice-to-have.", FALSE
"CDD records", "HAS_ISSUE_WITH", "onboarding breakpoints", "Onboarding is involved in the issue with CDD records having missing or mismatched KYC fields.", FALSE
"SAR Reporting Requirements", "DEPENDS_ON", "onboarding breakpoints", "SAR Reporting Requirements depends on threshold changes.", FALSE
"DataOwner", "SHOULD_FLAG", "onboarding breakpoints", "DataOwner should flag onboarding breakpoints related to legacy-migration and onboarding exceptions.", FALSE
"legacy-migration", "HAS_BREAKPOINTS", "onboarding breakpoints", "Legacy-migration has onboarding breakpoints.", FALSE
"backup approver path", "HAS", "one owner", "The backup owner is a secondary owner alongside the primary owner.", FALSE
"engineering", "CONFIRMS", "one owner", "Engineering must confirm the fixed owner in the build by Friday.", TRUE
"Data Engineering", "CONFIRMS", "one owner", "Data Engineering is confirming the approval owner.", TRUE
"exclusion handling", "HAS", "one owner", "The controlled code set has explicit owner/versioning.", FALSE
"owner", "HAS", "one owner", "The fallback register has one owner.", FALSE
"engineering", "CONFIRMS", "overwritten records", "Engineering will confirm whether before/after is a discrete build field or log-only by Friday.", TRUE
"engineering", "CONFIRMS", "overwritten records", "Engineering must confirm the before/after values in the build by Friday.", TRUE
"intake", "INCLUDES", "overwritten records", "Mismatches include nulls, partial matches, and overwritten fields.", FALSE
"Investigation Workflow Definition Spec", "REQUIRES", "overwritten records", "The investigation_workflow_definition_spec requires one approved value set plus a mapping note before workflow freeze.", FALSE
"expiry date", "LOGS_WHO_WHAT_CHANGED_IT", "overwritten records", "Manual overrides are logged with who/what changed it.", FALSE
"lifecycle updates", "LOGS_WHO_WHAT_CHANGED_IT", "overwritten records", "Late-arriving transactions are logged with who/what changed it.", FALSE
"DataOwner", "SHOULD_COUNT", "overwritten records", "DataOwner should count overwritten records by segment.", FALSE
"rule exceptions", "HAS_OWNER", "owner", "Threshold changes have one owner.", FALSE
"minimum evidence pack", "INCLUDES", "owner", "The minimum evidence set includes owner.", FALSE
"exclusion handling", "HAS_ATTRIBUTE", "owner", "The exclusion path for Phase 2 patterns must include owner.", FALSE
"Data Engineering", "NAMES", "owner", "Data Engineering names the owner.", FALSE
"engineering", "INCLUDES_IN", "owner", "engineering includes approval date in the row-level matrix.", FALSE
"engineering", "INCLUDES_IN", "owner", "engineering includes owner in the row-level matrix.", FALSE
"engineering", "CONFIRMS", "owner", "engineering confirms by Friday whether owner is a discrete build field.", TRUE
"Legal/Risk", "NAMES", "owner", "Legal should name the fallback owner today.", FALSE
"engineering", "CONFIRMS", "owner", "engineering confirms whether the owner is fixed in build by Friday.", FALSE
"legacy-migration", "HAS_OWNER", "owner", "The legacy remediation queue has an owner.", TRUE
"doc standards", "HAS_OWNER", "owner", "Missing coverage items have an owner.", FALSE
"expiry date", "HAS_ATTRIBUTE", "owner", "The fallback inventory has an owner.", FALSE
"Model Risk", "CONFIRMS", "owner", "Model Risk confirms the cutoff owner by Friday.", TRUE
"Legal/Risk", "TAGS_CRITICAL_ROWS_IN", "owner", "Legal/Risk is responsible for tagging critical rows in the register.", FALSE
"Model Risk", "CONFIRMS", "owner", "Operations confirms the queue-ready patterns by Wednesday.", TRUE
"Legal/Risk", "TAGS", "owner", "Legal tags critical rows in the fallback register.", FALSE
"Regulatory Compliance Program", "USED", "owner", "The Regulatory Compliance Program used a fallback register with one owner, one expiry, and one risk rating.", FALSE
"Data Engineering", "CONFIRMS", "owner", "Data Engineering confirms owners for approved inputs, experimental candidates, and blocked fields with known quality gaps.", FALSE
"Data Engineering", "MAINTAINS", "owner", "Data Engineering is maintaining the decision log.", FALSE
"engineering", "CONFIRMS", "owner", "Engineering will confirm whether owner is a discrete build field or log-only by Friday.", TRUE
"exception trail", "HAS_ATTRIBUTE", "owner", "signed decision log has approver.", FALSE
"expiry date", "LOGS_EVENT_TYPE", "ownership changes", "Manual overrides are logged with an event type.", FALSE
"lifecycle updates", "LOGS_EVENT_TYPE", "ownership changes", "Late-arriving transactions are logged with an event type.", FALSE
"intake", "INCLUDES", "partial-match", "Mismatches include nulls, partial matches, and overwritten fields.", FALSE
"rule exceptions", "HAS_OWNER", "partial-match", "Threshold changes have a change-control owner.", FALSE
"rule exceptions", "HAS_OWNER", "partial-match", "Threshold changes have a decision owner.", FALSE
"owner", "HAS_OWNER", "partial-match", "The exclusion log has a change-control owner.", FALSE
"Detected", "HAS_OWNER", "partial-match", "The high-risk segment cutoff has a decision owner.", FALSE
"DataOwner", "SHOULD_COUNT", "partial-match", "DataOwner should count partial-match records by segment.", FALSE
"Data Engineering", "POSTS", "pending items", "Data Engineering posts the separate gap list.", FALSE
"SAR Reporting Requirements", "REQUIRES", "policy constraints", "SAR Reporting Requirements requires a control decision to be confirmed by EOD tomorrow.", TRUE
"Data Engineering", "OWNS", "policy constraints", "DE owns the exclusion log mechanics.", FALSE
"engineering", "CONFIRMS", "queue owner", "DE confirms the timestamp/reason-code owner in writing by Friday.", TRUE
"manual review queues", "HOLDS_IF", "queue-ready", "Manual fallback holds if any of logic, routing, or escalation is missing from queue-ready.", FALSE
"Rules Config", "LOCKED_BEFORE", "regulator clarification", "The field matrix must be locked before open rule decisions are made.", FALSE
"Legal/Risk", "RANKS", "regulatory-critical", "Legal/Risk can help rank which patterns are regulatory-critical.", FALSE
"owner", "HAS", "risk rating", "The fallback register has one risk rating.", FALSE
"Legal/Risk", "TAGS", "risk-first route", "Legal tags only the regulatory-critical rows.", FALSE
"Legal/Risk", "TAGS", "risk-first route", "Risk tags only the regulatory-critical rows.", FALSE
"Legal/Risk", "TAGS", "risk-first route", "Legal tags the must-monitor corridors with regional exceptions that change scope.", FALSE
"high-risk segments", "GUIDES", "risk-first route", "The risk-first route guides focus on the highest-risk customer segments.", FALSE
"Incomplete Regulatory Coverage", "IS_ISOLATED_BY", "routing", "Coverage gaps are isolated by routing.", FALSE
"high-risk patterns", "HAS_TAG", "routing", "High-risk items have routing tags.", FALSE
"queue-ready", "REQUIRES", "routing", "The queue-ready status requires a stable routing.", FALSE
"logic", "SEPARATED_BY", "routing", "Logic, routing, and escalation are to be separated as distinct fields.", FALSE
"queue-ready", "REQUIRES", "routing", "Queue-ready requires routing.", FALSE
"engineering", "CONFIRMS", "routing rules", "engineering must confirm the formal requirements checkpoint.", FALSE
"Model Risk", "CONFIRMS", "routing rules", "Operations confirms the review checkpoints by Friday.", TRUE
"engineering", "INCLUDES_IN", "rule exceptions", "engineering includes build-gap vs approved-fallback status in the row-level matrix.", FALSE
"Data Engineering", "HAS", "rule exceptions", "Data Engineering will confirm the named cutoff owner in SharePoint by Friday.", TRUE
"Data Engineering", "MAINTAINS", "rule exceptions", "Data Engineering is maintaining the threshold changes.", FALSE
"jurisdictions", "SIGNS", "rule exceptions", "Legal signs the exception rule.", FALSE
"Model Risk", "CONFIRMS", "rule exceptions", "Model Risk must confirm the exception rules before the field matrix is frozen.", FALSE
"Model Risk", "CONFIRMS", "rule exceptions", "Model Risk must confirm the cutoff approver and threshold changes.", FALSE
"jurisdictions", "USES", "rule exceptions", "jurisdiction-specific fields use a decision log for every threshold/exception change with owner, date, and rationale.", FALSE
"Model Risk", "CONFIRMS", "rule exceptions", "Operations confirms the ownership by Friday.", TRUE
"regulator clarification", "DEPENDS_ON", "rule exceptions", "The exception rules depend on the regulator clarification being frozen.", FALSE
"newer transaction patterns", "HAS_FALLBACK", "rule exceptions", "The current fallback for newer transaction patterns is rule exceptions.", FALSE
"Model Risk", "CONFIRMS_ALIGNMENT_WITH", "scoring approach", "Model Risk confirms alignment between the feature set and updated scoring logic.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec", "DOCUMENTS", "scoring approach", "The scoring approach must be reviewed against the specification at http://sharepoint/aml_(anti-money_laundering)_project/model_feature_engineering_spec.", FALSE
"Model Feature Engineering", "HAS_OPTION", "scoring approach", "The feature engineering process has two options for the scoring approach: keeping the current feature set with tighter thresholds or adding new inputs for higher-risk transaction patterns.", FALSE
"legacy-migration", "HAS_SLA", "sla hooks", "The legacy remediation queue has an SLA.", TRUE
"DataOwner", "TAGS", "source-control rules", "DataOwner tags a small sample by Friday", TRUE
"Data Engineering", "WRITES", "source-control rules", "Data Engineering is writing the source-control rules.", FALSE
"case-to-field logic", "DEPENDS_ON", "suspicious activity case flow", "The case-to-field logic depends on the suspicious activity case flow, especially for anything tied to it.", FALSE
"engineering", "CONFIRMS", "swap recorder", "Engineering will confirm whether reason is a discrete build field or log-only by Friday.", TRUE
"Data Engineering", "CONFIRMS", "swap recorder", "DE confirms the swap recorder.", FALSE
"SAR Reporting Requirements", "HAS_OPTION", "temporary control outside the model", "SAR Reporting Requirements has option A: validate the spec against current automated outputs first.", FALSE
"newer transaction patterns", "HAS_FALLBACK", "temporary control outside the model", "The current fallback for newer transaction patterns is a temporary control outside the model.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "HAS_SEVERITY_THRESHOLDS", "threshold tuning", "The Investigation Workflow Definition includes severity thresholds that affect routing, evidence capture, and downstream compliance timing.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "HAS_THRESHOLD_CHANGE_IMPACT", "threshold tuning", "Changes to the severity thresholds in the Investigation Workflow Definition affect routing, evidence capture, and downstream compliance timing.", FALSE
"full rule-to-jurisdiction mapping", "FOLLOWS", "threshold tuning", "Full rule-to-jurisdiction mapping follows threshold tuning.", FALSE
"full rule-to-jurisdiction mapping", "PRECEDES", "threshold tuning", "Full rule-to-jurisdiction mapping precedes threshold tuning.", FALSE
"CDD records", "REFERENCED_IN", "tighter review path", "The CDD records issue is documented in the risk:_inconsistent_kyc_records_spec specification.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "REFERENCED_IN", "tighter review path", "The Investigation Workflow Definition specification is referenced in the risk:_inconsistent_kyc_records_spec document.", FALSE
"Risk: Inconsistent KYC Records", "HAS_SPECIFICATION", "tighter review path", "The inconsistent KYC records issue is documented in the risk:_inconsistent_kyc_records_spec specification.", FALSE
"Model Feature Engineering", "MAPPED_AGAINST", "tighter review path", "Model Feature Engineering is being mapped against alert quality, explainability, and the spec.", FALSE
"exclusion handling", "HAS_ATTRIBUTE", "timestamps", "The exclusion path for Phase 2 patterns must include timestamp.", FALSE
"high-risk patterns", "GENERATES", "timestamps", "New higher-risk patterns generate noise.", FALSE
"backup approver path", "ASSOCIATED_WITH", "timestamps", "The backup owner is associated with a timestamp.", FALSE
"exception trail", "HAS_ATTRIBUTE", "timestamps", "signed decision log has immutable timestamps.", FALSE
"engineering", "CONFIRMS", "timestamps", "Engineering will confirm whether timestamp is a discrete build field or log-only by Friday.", TRUE
"engineering", "CONFIRMS", "timestamps", "Engineering must confirm the timestamp in the build by Friday.", TRUE
"CDD tuning", "REQUIRES", "timestamps", "The CDD flow requires timestamp for overrides.", FALSE
"downstream dependencies", "HAS", "top five candidate features", "The top five candidate features have downstream dependencies associated with them.", FALSE
"expected lift", "HAS", "top five candidate features", "The top five candidate features have an expected lift associated with them.", FALSE
